iterations;bestFitness;averageFitness;mutations;cruces;
5;0.005681818181818182;0.0035984848484848487;157;745;
10;0.005681818181818182;0.0030303030303030286;317;1490;
15;0.005681818181818182;0.0035984848484848487;477;2235;
20;0.005681818181818182;0.0032954545454545433;632;2980;
25;0.005681818181818182;0.0035606060606060605;786;3725;
30;0.005681818181818182;0.003522727272727272;945;4470;
35;0.005681818181818182;0.0032575757575757556;1098;5215;
40;0.005681818181818182;0.003522727272727272;1243;5960;
45;0.005681818181818182;0.0037500000000000016;1384;6705;
50;0.005681818181818182;0.0035606060606060605;1532;7450;
55;0.005681818181818182;0.0037121212121212135;1668;8195;
60;0.005681818181818182;0.0034469696969696957;1809;8940;
65;0.005681818181818182;0.0037500000000000016;1978;9685;
70;0.005681818181818182;0.0035984848484848487;2112;10430;
75;0.005681818181818182;0.0031818181818181798;2275;11175;
80;0.005681818181818182;0.0032575757575757556;2433;11920;
85;0.005681818181818182;0.003674242424242425;2587;12665;
90;0.005681818181818182;0.003674242424242425;2724;13410;
95;0.005681818181818182;0.003863636363636366;2878;14155;
100;0.005681818181818182;0.003484848484848484;3030;14900;
105;0.005681818181818182;0.0037121212121212135;3174;15645;
110;0.005681818181818182;0.003939393939393942;3322;16390;
115;0.005681818181818182;0.0037121212121212135;3461;17135;
120;0.005681818181818182;0.0037121212121212135;3627;17880;
125;0.005681818181818182;0.003522727272727272;3792;18625;
130;0.005681818181818182;0.003674242424242425;3949;19370;
135;0.005681818181818182;0.0037500000000000016;4093;20115;
140;0.005681818181818182;0.003825757575757578;4238;20860;
145;0.005681818181818182;0.003636363636363637;4380;21605;
150;0.005681818181818182;0.0037878787878787897;4520;22350;
155;0.005681818181818182;0.0037121212121212135;4655;23095;
160;0.005681818181818182;0.003863636363636366;4793;23840;
165;0.005681818181818182;0.004015151515151519;4936;24585;
170;0.005681818181818182;0.003674242424242425;5089;25330;
175;0.005681818181818182;0.003636363636363637;5225;26075;
180;0.005681818181818182;0.0037121212121212135;5365;26820;
185;0.005681818181818182;0.0034090909090909076;5523;27565;
190;0.005681818181818182;0.003636363636363637;5670;28310;
195;0.005681818181818182;0.0037878787878787897;5819;29055;
200;0.005681818181818182;0.0037121212121212135;5976;29800;
205;0.005681818181818182;0.003977272727272731;6113;30545;
210;0.005681818181818182;0.0040530303030303074;6249;31290;
215;0.005681818181818182;0.0034090909090909076;6410;32035;
220;0.005681818181818182;0.003333333333333331;6559;32780;
225;0.005681818181818182;0.003333333333333331;6708;33525;
230;0.005681818181818182;0.0034090909090909076;6865;34270;
235;0.005681818181818182;0.004090909090909096;7016;35015;
240;0.005681818181818182;0.0031818181818181798;7141;35760;
245;0.005681818181818182;0.003106060606060604;7292;36505;
250;0.005681818181818182;0.0034090909090909076;7430;37250;
255;0.005681818181818182;0.0033712121212121195;7572;37995;
260;0.005681818181818182;0.0034469696969696957;7709;38740;
265;0.005681818181818182;0.003636363636363637;7864;39485;
270;0.005681818181818182;0.0039015151515151545;8021;40230;
275;0.005681818181818182;0.0035606060606060605;8171;40975;
280;0.005681818181818182;0.0037121212121212135;8323;41720;
285;0.005681818181818182;0.0034469696969696957;8477;42465;
290;0.005681818181818182;0.003825757575757578;8634;43210;
295;0.005681818181818182;0.003484848484848484;8772;43955;
300;0.005681818181818182;0.0037500000000000016;8928;44700;
305;0.005681818181818182;0.0035984848484848487;9071;45445;
310;0.005681818181818182;0.0035984848484848487;9211;46190;
315;0.005681818181818182;0.0037878787878787897;9363;46935;
320;0.005681818181818182;0.003484848484848484;9523;47680;
325;0.005681818181818182;0.0035606060606060605;9678;48425;
330;0.005681818181818182;0.0037121212121212135;9843;49170;
335;0.005681818181818182;0.0037121212121212135;9978;49915;
340;0.005681818181818182;0.0035984848484848487;10132;50660;
345;0.005681818181818182;0.003484848484848484;10275;51405;
350;0.005681818181818182;0.0035984848484848487;10428;52150;
355;0.005681818181818182;0.0030681818181818163;10570;52895;
360;0.005681818181818182;0.0033712121212121195;10740;53640;
365;0.005681818181818182;0.0039015151515151545;10899;54385;
370;0.005681818181818182;0.003863636363636366;11051;55130;
375;0.005681818181818182;0.0035606060606060605;11204;55875;
380;0.005681818181818182;0.003939393939393942;11353;56620;
385;0.005681818181818182;0.0035984848484848487;11494;57365;
390;0.005681818181818182;0.003977272727272731;11624;58110;
395;0.005681818181818182;0.0039015151515151545;11776;58855;
400;0.005681818181818182;0.003863636363636366;11912;59600;
405;0.005681818181818182;0.004166666666666672;12067;60345;
410;0.005681818181818182;0.003674242424242425;12216;61090;
415;0.005681818181818182;0.003977272727272731;12367;61835;
420;0.005681818181818182;0.003636363636363637;12518;62580;
425;0.005681818181818182;0.0034090909090909076;12663;63325;
430;0.005681818181818182;0.0034469696969696957;12804;64070;
435;0.005681818181818182;0.003522727272727272;12955;64815;
440;0.005681818181818182;0.004090909090909096;13096;65560;
445;0.005681818181818182;0.0039015151515151545;13239;66305;
450;0.005681818181818182;0.0034090909090909076;13401;67050;
455;0.005681818181818182;0.004015151515151519;13551;67795;
460;0.005681818181818182;0.0035984848484848487;13686;68540;
465;0.005681818181818182;0.0035984848484848487;13824;69285;
470;0.005681818181818182;0.003636363636363637;13958;70030;
475;0.005681818181818182;0.003636363636363637;14103;70775;
480;0.005681818181818182;0.0037878787878787897;14249;71520;
485;0.005681818181818182;0.003522727272727272;14368;72265;
490;0.005681818181818182;0.003825757575757578;14508;73010;
495;0.005681818181818182;0.0037500000000000016;14671;73755;
500;0.005681818181818182;0.0037878787878787897;14820;74500;
505;0.005681818181818182;0.0035984848484848487;14977;75245;
510;0.005681818181818182;0.0039015151515151545;15121;75990;
515;0.005681818181818182;0.0037500000000000016;15272;76735;
520;0.005681818181818182;0.003825757575757578;15424;77480;
525;0.005681818181818182;0.003977272727272731;15595;78225;
530;0.005681818181818182;0.003636363636363637;15747;78970;
535;0.005681818181818182;0.003939393939393942;15887;79715;
540;0.005681818181818182;0.003636363636363637;16020;80460;
545;0.005681818181818182;0.0037121212121212135;16161;81205;
550;0.005681818181818182;0.0037500000000000016;16300;81950;
555;0.005681818181818182;0.003863636363636366;16451;82695;
560;0.005681818181818182;0.0034090909090909076;16611;83440;
565;0.005681818181818182;0.004166666666666672;16772;84185;
570;0.005681818181818182;0.004090909090909096;16919;84930;
575;0.005681818181818182;0.003636363636363637;17065;85675;
580;0.005681818181818182;0.0037121212121212135;17210;86420;
585;0.005681818181818182;0.0035606060606060605;17391;87165;
590;0.005681818181818182;0.003825757575757578;17547;87910;
595;0.005681818181818182;0.003522727272727272;17699;88655;
600;0.005681818181818182;0.0033712121212121195;17850;89400;
605;0.005681818181818182;0.003825757575757578;17997;90145;
610;0.005681818181818182;0.003674242424242425;18158;90890;
615;0.005681818181818182;0.0040530303030303074;18290;91635;
620;0.005681818181818182;0.0039015151515151545;18445;92380;
625;0.005681818181818182;0.0031818181818181798;18586;93125;
630;0.005681818181818182;0.003939393939393942;18737;93870;
635;0.005681818181818182;0.0035984848484848487;18898;94615;
640;0.005681818181818182;0.0037878787878787897;19036;95360;
645;0.005681818181818182;0.003143939393939392;19195;96105;
650;0.005681818181818182;0.004166666666666672;19341;96850;
655;0.005681818181818182;0.003825757575757578;19487;97595;
660;0.005681818181818182;0.003522727272727272;19620;98340;
665;0.005681818181818182;0.0037121212121212135;19790;99085;
670;0.005681818181818182;0.003522727272727272;19960;99830;
675;0.005681818181818182;0.0035984848484848487;20092;100575;
680;0.005681818181818182;0.0033712121212121195;20246;101320;
685;0.005681818181818182;0.0035984848484848487;20399;102065;
690;0.005681818181818182;0.003977272727272731;20545;102810;
695;0.005681818181818182;0.003522727272727272;20710;103555;
700;0.005681818181818182;0.0034469696969696957;20868;104300;
705;0.005681818181818182;0.0032196969696969674;21010;105045;
710;0.005681818181818182;0.0037500000000000016;21168;105790;
715;0.005681818181818182;0.0030303030303030286;21314;106535;
720;0.005681818181818182;0.0035984848484848487;21454;107280;
725;0.005681818181818182;0.0037878787878787897;21591;108025;
730;0.005681818181818182;0.0039015151515151545;21746;108770;
735;0.005681818181818182;0.0037121212121212135;21899;109515;
740;0.005681818181818182;0.0032575757575757556;22072;110260;
745;0.005681818181818182;0.003863636363636366;22233;111005;
750;0.005681818181818182;0.0039015151515151545;22365;111750;
755;0.005681818181818182;0.0033712121212121195;22515;112495;
760;0.005681818181818182;0.0035984848484848487;22679;113240;
765;0.005681818181818182;0.003863636363636366;22844;113985;
770;0.005681818181818182;0.0032196969696969674;23018;114730;
775;0.005681818181818182;0.003863636363636366;23176;115475;
780;0.005681818181818182;0.003333333333333331;23329;116220;
785;0.005681818181818182;0.003863636363636366;23487;116965;
790;0.005681818181818182;0.003674242424242425;23637;117710;
795;0.005681818181818182;0.0034090909090909076;23785;118455;
800;0.005681818181818182;0.003636363636363637;23938;119200;
805;0.005681818181818182;0.0033712121212121195;24094;119945;
810;0.005681818181818182;0.003863636363636366;24244;120690;
815;0.005681818181818182;0.003333333333333331;24371;121435;
820;0.005681818181818182;0.0039015151515151545;24533;122180;
825;0.005681818181818182;0.0037500000000000016;24673;122925;
830;0.005681818181818182;0.0034469696969696957;24811;123670;
835;0.005681818181818182;0.003636363636363637;24967;124415;
840;0.005681818181818182;0.003825757575757578;25118;125160;
845;0.005681818181818182;0.0035606060606060605;25243;125905;
850;0.005681818181818182;0.003522727272727272;25395;126650;
855;0.005681818181818182;0.0034469696969696957;25558;127395;
860;0.005681818181818182;0.003674242424242425;25708;128140;
865;0.005681818181818182;0.003825757575757578;25854;128885;
870;0.005681818181818182;0.003522727272727272;26020;129630;
875;0.005681818181818182;0.003636363636363637;26165;130375;
880;0.005681818181818182;0.003825757575757578;26341;131120;
885;0.005681818181818182;0.0037500000000000016;26497;131865;
890;0.005681818181818182;0.003977272727272731;26657;132610;
895;0.005681818181818182;0.003522727272727272;26812;133355;
900;0.005681818181818182;0.004356060606060613;26955;134100;
905;0.005681818181818182;0.003333333333333331;27087;134845;
910;0.005681818181818182;0.003825757575757578;27245;135590;
915;0.005681818181818182;0.0033712121212121195;27377;136335;
920;0.005681818181818182;0.0035606060606060605;27510;137080;
925;0.005681818181818182;0.0032954545454545433;27663;137825;
930;0.005681818181818182;0.0039015151515151545;27833;138570;
935;0.005681818181818182;0.003674242424242425;27973;139315;
940;0.005681818181818182;0.0034469696969696957;28118;140060;
945;0.005681818181818182;0.003636363636363637;28256;140805;
950;0.005681818181818182;0.003674242424242425;28394;141550;
